arm 881.853821 -4055.928711 141.125000 0.000000 91.000000 0.000000 0.000000 0.000000 1.000000 30.000000 91.000000 1.000000
mgturret 1015.848206 -4261.030762 148.125000 0.000000 -84.000000 0.000000 0.000000 0.000000 1.000000 -0.000000 96.000000 1.000000
mgturret 483.223389 -2781.835205 84.125000 0.000000 31.000000 0.000000 0.000000 0.000000 1.000000 -0.000000 211.000000 1.000000
repeater 786.983704 -4237.150391 143.125000 0.000000 -142.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -142.000000 1.000000
telenode 1282.961792 -4113.555664 132.125000 0.000000 60.000000 0.000000 0.000000 0.000000 1.000000 30.000000 60.000000 1.000000
reactor 1275.975220 -4304.497559 132.125000 0.000000 -92.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -92.000000 1.000000
medistat 458.888733 -2860.365723 839.125000 0.000000 1.000000 0.000000 0.000000 0.000000 1.000000 30.000000 1.000000 1.000000
medistat 1280.891113 -4204.754395 135.125000 0.000000 -2.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -2.000000 1.000000
telenode 898.323669 -4305.467285 132.125000 0.000000 -90.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -90.000000 1.000000
tesla 985.578735 -4064.893311 168.125000 0.000000 88.000000 0.000000 0.000000 0.000000 1.000000 30.000000 88.000000 1.000000
tesla 1187.355469 -4062.544678 262.125000 0.000000 129.000000 0.000000 0.000000 0.000000 1.000000 30.000000 129.000000 1.000000
hive 2178.739746 -535.374817 1277.957886 0.000000 129.000000 -133.000000 -0.141421 -0.989949 -0.000000 30.000000 129.000000 -0.000000
mgturret 1141.982910 -4257.929199 148.125000 0.000000 -56.000000 0.000000 0.000000 0.000000 1.000000 -0.000000 124.000000 1.000000
telenode 840.868835 -4174.786133 132.125000 0.000000 -180.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -180.000000 1.000000
medistat 920.784607 -4132.423828 135.125000 0.000000 90.000000 0.000000 0.000000 0.000000 1.000000 30.000000 90.000000 1.000000
arm 535.888123 -2885.489014 845.125000 0.000000 84.000000 0.000000 0.000000 0.000000 1.000000 30.000000 84.000000 1.000000
hive 493.673492 -250.503281 951.214966 0.000000 137.000000 -2.000000 0.707107 -0.707107 0.000000 30.000000 137.000000 0.000000
repeater 525.704590 -3144.156494 783.125000 0.000000 -27.000000 0.000000 0.000000 0.000000 1.000000 30.000000 -27.000000 1.000000
hive 1006.494629 -3155.875000 520.991577 0.000000 -2.000000 -89.000000 0.000000 1.000000 0.000000 30.000000 -2.000000 0.000000
